PROPERTY NU   BEDS    INTERNAL COV VERANDAS, M STORAGE ROOM PRIVATE GARDTOTAL COVERPARKING SPPRICE NET ROOF GAR
    101         1        55,60        3,35         0,00          0         58,95      101     180 000     0    
    102         1        54,40        5,80         0,00          0         60,20      102     182 000     0    
    103         1         51,1        3,5           0            0         54,6       103     177 000     0    
    104         1          51          5            0            0          56        104     178 000     0    
    105         2        83,80        6,20         4,00          0         90,00      105     260 000     0    
    106         1        52,70         0            0          21,40       52,70      106      10 000    0,00  
    107         1        52,50         0            0          20,20       52,50      107     175 000    0,00  
    108         1        52,00         0            0          20,10       52,00      108     175 000    0,00  
    109         3        86,90         0           4,00        24,90       86,90      109     312 000    0,00  
    110         1        52,60        4,60          0            0         57,20      110     174 000     0    
    111         1        56,00        5,40          0            0         61,40      111     178 000     0    
    112         2        75,70        7,00         4,00          0         82,70      112     240 000     0    
    113         2        78,40        8,60         4,00          0         87,00      113     250 000     0    
    201         1        55,60        7,10         0,00          0         62,70      201     255 000     56   
    202         1        54,40        3,00         0,00          0         57,40      202     240 000     54   
    203         1        51,10        3,50         0,00          0         54,60      203     230 000     51   
    204         1        51,00        3,00         0,00          0         54,00      204     230 000     51   
    205         2        83,80        5,75         4,00          0         89,55      205     360 000     84   
    206         1        52,70        3,60         0,00          0         56,30      206             0   0    
    207         1        52,50        3,50         0,00          0         56,00      207             0   0    
    208         1        52,00        5,00         0,00          0         57,00      208     210 000     0    
    209         3        86,90        9,20         4,00          0         96,10      209     315 000     0    
    210         1        49,30        7,80         0,00          0         57,10      210     210 000     0    
    211         1        56,10       10,00         4,00          0         66,10      211     240 000     56   
    212         2        78,00       12,00         4,00          0         90,00      212     360 000     78   
    213         1        51,70        8,00         4,00          0         59,70      213     260 000     52   
    214         1        46,70        7,40         4,00          0         54,10      214     240 000     47   
